CustomerID,CustomerName,Email,Phone,City,State,JoinDate
58,Customer 58,customer58@mail.com,9786066793,Bengaluru,Karnataka,2024-09-16
59,Customer 59,customer59@mail.com,9313579170,Hyderabad,Telangana,2024-03-19
60,Customer 60,customer60@mail.com,9918739736,Bengaluru,Karnataka,2024-03-23
61,Customer 61,customer61@mail.com,9936043811,Hyderabad,Telangana,2024-09-28
62,Customer 62,customer62@mail.com,9743111853,Mumbai,Maharashtra,2024-06-14
63,Customer 63,customer63@mail.com,9120912992,Chennai,Tamil Nadu,2024-02-27
64,Customer 64,customer64@mail.com,9992994062,Bengaluru,Karnataka,2024-06-06
65,Customer 65,customer65@mail.com,9162196678,Delhi,Delhi,2024-05-03
66,Customer 66,customer66@mail.com,9184564737,Hyderabad,Telangana,2024-02-13
67,Customer 67,customer67@mail.com,9976198296,Chennai,Tamil Nadu,2024-02-05
68,Customer 68,customer68@mail.com,9922308461,Hyderabad,Telangana,2024-03-05
69,Customer 69,customer69@mail.com,9808402051,Delhi,Delhi,2024-08-31
70,Customer 70,customer70@mail.com,9277303722,Hyderabad,Telangana,2024-05-15
71,Customer 71,customer71@mail.com,9751325257,Hyderabad,Telangana,2024-08-04
72,Customer 72,customer72@mail.com,9679064766,Delhi,Delhi,2024-12-19
73,Customer 73,customer73@mail.com,9865523129,Delhi,Delhi,2024-06-08
74,Customer 74,customer74@mail.com,9821218382,Chennai,Tamil Nadu,2024-11-28
75,Customer 75,customer75@mail.com,9570406376,Bengaluru,Karnataka,2024-09-21
76,Customer 76,customer76@mail.com,9229927269,Chennai,Tamil Nadu,2024-05-06
77,Customer 77,customer77@mail.com,9168747287,Delhi,Delhi,2024-06-22
78,Customer 78,customer78@mail.com,9731691672,Mumbai,Maharashtra,2024-10-10
79,Customer 79,customer79@mail.com,9731832764,Delhi,Delhi,2024-04-22
80,Customer 80,customer80@mail.com,9176228245,Mumbai,Maharashtra,2024-12-28
81,Customer 81,customer81@mail.com,9345824373,Mumbai,Maharashtra,2024-02-04
82,Customer 82,customer82@mail.com,9454794895,Mumbai,Maharashtra,2024-02-06
83,Customer 83,customer83@mail.com,9355555531,Hyderabad,Telangana,2024-05-22
84,Customer 84,customer84@mail.com,9330035022,Chennai,Tamil Nadu,2024-10-03
85,Customer 85,customer85@mail.com,9876693898,Delhi,Delhi,2024-10-19
86,Customer 86,customer86@mail.com,9607526654,Hyderabad,Telangana,2024-05-04
87,Customer 87,customer87@mail.com,9967043303,Chennai,Tamil Nadu,2024-07-27
88,Customer 88,customer88@mail.com,9201281557,Delhi,Delhi,2024-02-19
89,Customer 89,customer89@mail.com,9480424119,Chennai,Tamil Nadu,2024-08-04
90,Customer 90,customer90@mail.com,9601463916,Chennai,Tamil Nadu,2024-01-28
91,Customer 91,customer91@mail.com,9165082363,Mumbai,Maharashtra,2024-07-25
92,Customer 92,customer92@mail.com,9959629660,Bengaluru,Karnataka,2024-02-25
93,Customer 93,customer93@mail.com,9305718272,Delhi,Delhi,2024-04-07
94,Customer 94,customer94@mail.com,9581695135,Hyderabad,Telangana,2024-03-12
95,Customer 95,customer95@mail.com,9297018781,Chennai,Tamil Nadu,2024-05-22
96,Customer 96,customer96@mail.com,9368227631,Chennai,Tamil Nadu,2024-02-08
97,Customer 97,customer97@mail.com,9967607278,Chennai,Tamil Nadu,2024-10-08
98,Customer 98,customer98@mail.com,9154318806,Mumbai,Maharashtra,2024-11-29
99,Customer 99,customer99@mail.com,9997677788,Hyderabad,Telangana,2024-01-08
100,Customer 100,customer100@mail.com,9909134796,Mumbai,Maharashtra,2024-05-01
